project_code,unit_no,block,sequence,display_no,floor_label,floor_level,unit_type,area_text,interior_m2,outdoor_m2,sale_status,buy_now_eur,next_price_eur,price_source,numbering_source,price_fallback_from,data_quality,source_notes
NLP-AVS,A-001,A,1,A-1,Unknown,0,2+1 Garden,64+100 m2,64.0,100.0,available,264100,290510|319561|351517,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-002,A,2,A-2,Unknown,0,2+1 Garden,79 +125 m2,79.0,125.0,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-003,A,3,A-3,Unknown,0,2+1 Garden,69+80 m2,69.0,80.0,available,257200,282920|311212|342333,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-004,A,4,A-4,Open basement,-1,2+1 Garden,74+70 m2,74.0,70.0,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-005,A,5,A-5,Open basement,-1,2+1 Garden,79+118 m2,79.0,118.0,available,250200,275220|302742|333016,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-006,A,6,A-6,Open basement,-1,2+1 Garden,80+80 m2,80.0,80.0,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-007,A,7,A-7,Open basement,-1,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-008,A,8,A-8,Open basement,-1,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-009,A,9,A-9,Open basement,-1,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-010,A,10,A-10,Open basement,-1,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-011,A,11,A-11,Open basement,-1,1+1,53 m2,53.0,,available,145300,159830|175813|193394,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-012,A,12,A-12,Ground floor,0,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-013,A,13,A-13,Ground floor,0,1+1,53 m2,53.0,,available,142200,156420|172062|189268,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
NLP-AVS,A-014,A,14,A-14,Ground floor,0,1+1,53 m2,53.0,,sold,,,6. PRICE LIST 💶\A BLOCK PRICE LIST.pdf,,,client_source,
